Section,Key,Context,Page,English,Dutch,Notes
UNIVERSAL,brand.name,Brand name,All pages,SafeCircle,SafeCircle,Never translate
UNIVERSAL,brand.tagline,Footer tagline,All pages with Footer,Peace of mind for independent living.,Gemoedsrust voor zelfstandig wonen.,Brand promise
UNIVERSAL,copyright,Copyright text,All pages with Footer,© 2025 SafeCircle. All rights reserved.,© 2025 SafeCircle. Alle rechten voorbehouden.,Legal text
NAVIGATION,nav.why,Navigation menu item,Header,Why SafeCircle,Waarom SafeCircle,Links to problem section
NAVIGATION,nav.howitworks,Navigation menu item,Header,How it works,Hoe het werkt,Links to how-it-works section
NAVIGATION,nav.pricing,Navigation menu item,Header,Pricing,Prijzen,Links to pricing section
NAVIGATION,nav.privacy,Navigation menu item,Header,Privacy & Security,Privacy & Beveiliging,Links to privacy section
NAVIGATION,nav.cta,Header CTA button,Header,Get started,Aan de slag,Action button
FOOTER,footer.product.heading,Footer column heading,Footer,Product,Product,Section title
FOOTER,footer.product.why,Footer link,Footer,Why SafeCircle,Waarom SafeCircle,Links to features
FOOTER,footer.product.pricing,Footer link,Footer,Pricing & What's Included,Prijzen & Wat Je Krijgt,Links to pricing
FOOTER,footer.product.privacy,Footer link,Footer,Privacy & Security,Privacy & Beveiliging,Links to privacy
FOOTER,footer.product.devices,Footer link,Footer,Smart Devices,Slimme Apparaten,Links to devices page
FOOTER,footer.support.heading,Footer column heading,Footer,Support,Ondersteuning,Section title
FOOTER,footer.support.help,Footer link,Footer,Help Center,Helpcentrum,Links to help
FOOTER,footer.support.contact,Footer link,Footer,Contact Us,Contact,Links to contact
FOOTER,footer.legal.heading,Footer column heading,Footer,Legal,Juridisch,Section title
FOOTER,footer.legal.privacy,Footer link,Footer,Privacy Policy,Privacybeleid,Links to privacy policy
FOOTER,footer.legal.terms,Footer link,Footer,Terms of Service,Gebruiksvoorwaarden,Links to terms
FOOTER,footer.legal.security,Footer link,Footer,Security,Beveiliging,Links to security info
FOOTER,footer.legal.screenshots,Footer link,Footer,App Screenshots,App Screenshots,Links to screenshots
FOOTER,footer.legal.design,Footer link,Footer,Design System,Design System,Links to design system
HERO,hero.title,Main heading,Landing Page,Daily reassurance on autopilot,"Dagelijkse gemoedsrust, vanzelf geregeld",Keep it punchy and emotional
HERO,hero.subtitle,Subtitle,Landing Page,"SafeCircle gives you safety without surveillance. Peace of mind for you and your loved ones, without compromising your independence or privacy.","SafeCircle geeft je veiligheid zonder bewaking. Gemoedsrust voor jou en je naasten, zonder dat je je zelfstandigheid of privacy hoeft op te geven.",Core value proposition
HERO,hero.cta.primary,Primary CTA button,Landing Page,Get Started,Aan de slag,Action button - keep short
HERO,hero.cta.secondary,Secondary CTA button,Landing Page,Why SafeCircle,Waarom SafeCircle,Links to problem section
HERO,hero.image.alt,Alt text for hero image,Landing Page,Woman reading book alone at home,Vrouw leest een boek alleen thuis,For accessibility
PROBLEM,problem.title,Section heading,Landing Page,I don't want to be unnoticed if something goes wrong,Ik wil niet onopgemerkt blijven als er iets mis gaat,First-person perspective - emotional
PROBLEM,problem.bullet1.strong,First bullet - bold text,Landing Page,Living alone means there's no one nearby to notice,Zelfstandig wonen betekent dat er niemand in de buurt is om het te zien,Emphasize the problem
PROBLEM,problem.bullet1.regular,First bullet - regular text,Landing Page,"if I fall, get sick, or have an emergency. It could take a long time before anyone realizes something is wrong.","als ik val, ziek word of in nood raak. Het kan lang duren voordat iemand doorheeft dat er iets aan de hand is.",Complete the sentence
PROBLEM,problem.bullet2.strong,Second bullet - bold text,Landing Page,"My loved ones and I are often busy,","Mijn naasten en ik hebben het vaak druk,",Relatable situation
PROBLEM,problem.bullet2.regular,Second bullet - regular text,Landing Page,"and daily phone calls or texts are not always realistic. But I do want them to know if I go silent for too long.","en dagelijks bellen of appen is niet altijd realistisch. Maar ik wil wel dat ze het weten als ik te lang niets van me laat horen.",Balance independence with safety
PROBLEM,problem.bullet3.strong,Third bullet - bold text,Landing Page,I value my privacy and don't want surveillance.,Ik hecht aan mijn privacy en wil geen bewaking.,Key differentiator
PROBLEM,problem.bullet3.regular,Third bullet - regular text,Landing Page,"I want help to be available if needed, but I don't want cameras, constant tracking, or anyone watching what I do day-to-day.","Ik wil dat er hulp beschikbaar is als het nodig is, maar geen camera's, constante tracking of iemand die kijkt wat ik dagelijks doe.",Privacy emphasis
PROBLEM,problem.closing,Closing statement - italic,Landing Page,"SafeCircle gives you safety without surveillance—peace of mind for you and your loved ones, without compromising your independence or privacy.","SafeCircle geeft je veiligheid zonder bewaking—gemoedsrust voor jou en je naasten, zonder dat je je zelfstandigheid of privacy hoeft op te geven.",Reinforces value proposition
HOW IT WORKS,howitworks.title,Section heading,Landing Page,Simple. Private. In your control.,"Simpel. Privé. Jij hebt de controle.",Three-part promise
HOW IT WORKS,howitworks.subtitle,Section subtitle,Landing Page,"By default, SafeCircle only uses your smartphone. It collects the minimum information needed to let your loved ones know that everything seems fine. No buttons to press, no devices to remember.","Standaard gebruikt SafeCircle alleen je smartphone. Het verzamelt het absolute minimum aan informatie om je naasten te laten weten dat alles in orde lijkt. Geen knoppen om in te drukken, geen apparaten om te onthouden.",Explains simplicity
HOW IT WORKS,howitworks.feature1.title,First feature heading,Landing Page,Maximum reassurance with minimal data collection,Maximale geruststelling met minimale dataverzameling,Privacy-first approach
HOW IT WORKS,howitworks.feature1.description,First feature description,Landing Page,"No cameras, no audio, no surveillance. Only simple activity signals like unlocking your phone, less data than most apps collect. Or share nothing at all and use push notifications only.","Geen camera's, geen audio, geen bewaking. Alleen simpele activiteitssignalen zoals je telefoon ontgrendelen—minder data dan de meeste apps verzamelen. Of deel helemaal niks en gebruik alleen pushnotificaties.",Emphasize what's NOT collected
HOW IT WORKS,howitworks.feature1.alt,First screenshot alt text,Landing Page,Privacy-first monitoring screen,Privacy-first monitoring scherm,For accessibility
HOW IT WORKS,howitworks.feature2.title,Second feature heading,Landing Page,Your loved ones get the right information at the right time,Je naasten krijgen de juiste informatie op het juiste moment,Adaptive sharing
HOW IT WORKS,howitworks.feature2.description,Second feature description,Landing Page,"When all is well, contacts who have installed the app see simple confirmation. If something seems off, they can get helpful details like last activity or location via the app, WhatsApp, SMS, or email. You control what's shared and when.","Als alles goed gaat, zien je vertrouwde contacten die de app hebben geïnstalleerd een simpele bevestiging. Als er iets niet klopt, kunnen ze via de app, WhatsApp, sms of e-mail nuttige details krijgen zoals je laatste activiteit of locatie. Jij bepaalt wat er gedeeld wordt en wanneer.",Explains information flow
HOW IT WORKS,howitworks.feature2.alt,Second screenshot alt text,Landing Page,Adaptive information sharing screen,Adaptief informatie delen scherm,For accessibility
HOW IT WORKS,howitworks.feature3.title,Third feature heading,Landing Page,Full control over how monitoring works for you,Volledige controle over hoe de monitoring voor jou werkt,User empowerment
HOW IT WORKS,howitworks.feature3.description,Third feature description,Landing Page,"Pause monitoring anytime. Choose how long before alerts are sent. Or use push-notification-only mode to confirm you're okay without sharing data.","Pauzeer de monitoring wanneer je maar wilt. Bepaal zelf hoe lang er gewacht wordt voordat er een waarschuwing verstuurd wordt. Of gebruik de pushnotificatie-modus om te bevestigen dat het goed met je gaat zonder data te delen.",Control and flexibility
HOW IT WORKS,howitworks.feature3.alt,Third screenshot alt text,Landing Page,Monitoring control settings screen,Monitoring controle instellingen scherm,For accessibility
HOW IT WORKS,howitworks.selling1.title,First selling point title,Landing Page,Smartphone-only monitoring,Alleen smartphone monitoring,Key benefit
HOW IT WORKS,howitworks.selling1.description,First selling point description,Landing Page,Quietly tracks patterns of activity on your phone. No extra devices needed.,Volgt stil je activiteitspatronen op je telefoon. Geen extra apparaten nodig.,Emphasize simplicity
HOW IT WORKS,howitworks.selling2.title,Second selling point title,Landing Page,Optional devices for reliability,Optionele apparaten voor meer betrouwbaarheid,Flexibility message
HOW IT WORKS,howitworks.selling2.description,Second selling point description,Landing Page,"Connect smart lights or sensors to make monitoring more robust, but it's never required.","Koppel slimme lampen of sensoren voor robuustere monitoring, maar het is nooit verplicht.",Optional enhancement
HOW IT WORKS,howitworks.selling3.title,Third selling point title,Landing Page,Minimal data collection,Minimale dataverzameling,Privacy emphasis
HOW IT WORKS,howitworks.selling3.description,Third selling point description,Landing Page,Only the signals that something is normal or unusual. Never what you are doing or who you are talking to.,Alleen de signalen dat iets normaal of ongewoon is. Nooit wat je aan het doen bent of met wie je praat.,What's NOT collected
HOW IT WORKS,howitworks.expandable.button.show,Button to show expandable content,Landing Page,What do we mean with monitoring?,Wat bedoelen we met monitoring?,Question format
HOW IT WORKS,howitworks.expandable.button.hide,Button to hide expandable content,Landing Page,Hide details,Verberg details,Action text
HOW IT WORKS,howitworks.expandable.section1.title,Expandable content - first section title,Landing Page,We collect the minimum information needed,We verzamelen het absolute minimum aan informatie,Transparency
HOW IT WORKS,howitworks.expandable.section1.p1,Expandable content - paragraph 1,Landing Page,"SafeCircle monitors simple activity signals—like when you unlock your phone, turn on a light, or interact with connected devices. We don't record what you're doing, who you're talking to, or what's on your screen.","SafeCircle monitort simpele activiteitssignalen—zoals wanneer je je telefoon ontgrendelt, een lamp aanzet of interactie hebt met gekoppelde apparaten. We nemen niet op wat je aan het doen bent, met wie je praat of wat er op je scherm staat.",Explain activity signals
HOW IT WORKS,howitworks.expandable.section1.p2,Expandable content - paragraph 2,Landing Page,"Think of it like a motion sensor in a room: it knows someone is present and active, but nothing about what they're actually doing. That's all SafeCircle needs to know you're going about your normal routine.","Vergelijk het met een bewegingssensor in een kamer: die weet dat er iemand aanwezig en actief is, maar niks over wat diegene daadwerkelijk aan het doen is. Meer hoeft SafeCircle niet te weten om te zien dat je je normale routine volgt.",Helpful analogy
HOW IT WORKS,howitworks.expandable.section1.p3,Expandable content - paragraph 3,Landing Page,"We use these signals to learn your typical daily patterns—when you're usually active, when you typically rest. If that pattern continues normally, your trusted contacts see a simple ""all is well"" confirmation. If the pattern breaks unexpectedly, they're notified.","We gebruiken deze signalen om je typische dagelijkse patronen te leren—wanneer je meestal actief bent, wanneer je normaal gesproken rust. Als dat patroon normaal doorgaat, zien je vertrouwde contacten een simpele ""alles is goed"" bevestiging. Als het patroon onverwacht doorbroken wordt, krijgen ze een melding.",How it works
HOW IT WORKS,howitworks.expandable.section2.title,Expandable content - second section title,Landing Page,Monitoring vs. Surveillance,Monitoring vs. Bewaking,Key distinction
HOW IT WORKS,howitworks.expandable.section2.surveillance.title,Surveillance explanation title,Landing Page,Surveillance tracks what you do:,Bewaking volgt wat je doet:,Italic emphasis on 'what'
HOW IT WORKS,howitworks.expandable.section2.surveillance.text,Surveillance explanation,Landing Page,"Cameras watching you, GPS tracking your exact location, recording conversations, logging websites you visit, or monitoring who you communicate with. It's invasive and creates a detailed record of your life.","Camera's die je in de gaten houden, GPS die je exacte locatie volgt, gesprekken die opgenomen worden, websites die gelogd worden, of wie je allemaal spreekt. Het is invasief en creëert een gedetailleerd overzicht van je leven.",What we DON'T do
HOW IT WORKS,howitworks.expandable.section2.safecircle.title,SafeCircle explanation title,Landing Page,SafeCircle monitors that you're active:,SafeCircle monitort dat je actief bent:,Italic emphasis on 'that'
HOW IT WORKS,howitworks.expandable.section2.safecircle.text,SafeCircle explanation,Landing Page,"Simple signals that indicate activity is happening—nothing about what that activity is. No cameras, no audio, no detailed tracking. Just enough to know your routine continues normally, or when it doesn't.","Simpele signalen die aangeven dat er activiteit plaatsvindt—niks over wat die activiteit is. Geen camera's, geen audio, geen gedetailleerde tracking. Net genoeg om te weten dat je routine normaal doorgaat, of wanneer dat niet zo is.",What we DO
HOW IT WORKS,howitworks.expandable.section2.keydifference,Key difference callout box,Landing Page,"The key difference: Surveillance tells someone everything about your life. SafeCircle only signals whether your routine seems normal or if something might be wrong—giving you privacy while still providing reassurance.","Het belangrijkste verschil: Bewaking vertelt iemand alles over je leven. SafeCircle geeft alleen een signaal of je routine normaal lijkt of dat er misschien iets aan de hand is—zo houd je je privacy terwijl er toch geruststelling is.",Bold 'The key difference:'
TRUSTED CONTACTS,trustedcontacts.title,Section heading,Landing Page,For Trusted Contacts,Voor je Vertrouwde Contacten,Contacts perspective
TRUSTED CONTACTS,trustedcontacts.subtitle,Section subtitle,Landing Page,"Being designated as a trusted contact means you're there when it matters most. Without consistently asking if everything is fine.","Als je iemands vertrouwd contact bent, ben je er wanneer het er echt toe doet. Zonder steeds te moeten vragen of alles goed gaat.",Balance of information
TRUSTED CONTACTS,trustedcontacts.state1.description,First state description,Landing Page,"Install the app to see everything is fine. If you're loved one is going about their day you see that nothing unusual is detected.","Installeer de app om te zien dat alles in orde is. Als je naaste zijn of haar dag doorbrengt, zie je dat er niets ongewoons gedetecteerd wordt.",Low friction
TRUSTED CONTACTS,trustedcontacts.state2.description,Second state description,Landing Page,"If something seems off, you receive an alert with helpful information. If you choose not to install the app, you get alerts via SMS.","Als er iets niet klopt, ontvang je een waarschuwing met nuttige informatie. Als je ervoor kiest om de app niet te installeren, krijg je waarschuwingen via sms.",Actionable information
WHY IT MATTERS,whyitmatters.title,Section heading,Landing Page,Effortless reassurance,Moeiteloos geruststelling,Key benefit
WHY IT MATTERS,whyitmatters.subtitle,Section subtitle,Landing Page,"Many people put off organizing or sharing health and safety info. SafeCircle lowers the threshold: it's easy to set up, runs on autopilot, and ensures loved ones know you're okay without pressure or surveillance.","Veel mensen stellen het uitzoeken of delen van gezondheids- en veiligheidsinformatie uit. SafeCircle verlaagt de drempel: het is makkelijk in te stellen, werkt op de automatische piloot, en zorgt dat je naasten weten dat het goed met je gaat zonder druk of bewaking.",Removes friction
WHY IT MATTERS,whyitmatters.perfectfor.title,Subsection heading,Landing Page,It's perfect for:,Perfect voor:,List introduction
WHY IT MATTERS,whyitmatters.perfectfor.item1,First perfect-for item,Landing Page,Adults living alone who want independence and safety without wearing devices like emergency buttons or smartwatches,Volwassenen die zelfstandig wonen en onafhankelijkheid en veiligheid willen zonder apparaten te dragen zoals noodknoppen of smartwatches,Target audience 1
WHY IT MATTERS,whyitmatters.perfectfor.item2,Second perfect-for item,Landing Page,Loved ones who want reassurance but lack time for frequent check-ins or worry about being intrusive,Naasten die geruststelling willen maar geen tijd hebben voor regelmatige check-ins of bang zijn om opdringerig te zijn,Target audience 2
WHY IT MATTERS,whyitmatters.howitworks.title,How it works subsection heading,Landing Page,How it works,Hoe het werkt,Process explanation
WHY IT MATTERS,whyitmatters.howitworks.step1,First step,Landing Page,"SafeCircle learns your normal daily patterns using your phone and any smart devices you already have. It observes that activity is happening during your typical routine. Not what you're doing or where you are. SafeCircle uses minimal data collection, less than many popular apps.","SafeCircle leert je normale dagelijkse patronen aan de hand van je telefoon en eventuele slimme apparaten die je al hebt. Het observeert dat er activiteit plaatsvindt tijdens je normale routine. Niet wat je aan het doen bent of waar je bent. SafeCircle verzamelt minimale data, minder dan veel populaire apps.",Pattern learning
WHY IT MATTERS,whyitmatters.howitworks.step2,Second step,Landing Page,"Each day, when your activity matches your normal pattern, SafeCircle automatically marks you as checked in. If your trusted contacts have installed the app, they see quiet confirmation that you're going about your day. If not, no news is good news.","Elke dag, wanneer je activiteit overeenkomt met je normale patroon, markeert SafeCircle je automatisch als ingecheckt. Als je vertrouwde contacten de app geïnstalleerd hebben, zien ze een rustige bevestiging dat je je dag doorbrengt. Zo niet, geen nieuws is goed nieuws.",Automatic check-in
